
> lifehub@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.101.48:3000
- Environments: .env.local

✓ Starting...
 GET /dashboard 200 in 478ms (compile: 4ms, proxy.ts: 213ms, render: 262ms)
 GET /dashboard 200 in 526ms (compile: 5ms, proxy.ts: 218ms, render: 302ms)
 GET /dashboard 200 in 522ms (compile: 7ms, proxy.ts: 250ms, render: 264ms)
 GET /dashboard 200 in 509ms (compile: 4ms, proxy.ts: 214ms, render: 291ms)
 GET /dashboard 200 in 503ms (compile: 3ms, proxy.ts: 245ms, render: 255ms)
 GET /dashboard 200 in 573ms (compile: 2ms, proxy.ts: 215ms, render: 356ms)
 GET /dashboard 200 in 533ms (compile: 5ms, proxy.ts: 268ms, render: 260ms)
 GET /dashboard 200 in 543ms (compile: 1985µs, proxy.ts: 209ms, render: 332ms)
 GET /dashboard 200 in 503ms (compile: 13ms, proxy.ts: 229ms, render: 261ms)
 GET /dashboard 200 in 486ms (compile: 5ms, proxy.ts: 241ms, render: 240ms)
 GET /dashboard 200 in 477ms (compile: 4ms, proxy.ts: 226ms, render: 246ms)
 GET /dashboard 200 in 502ms (compile: 1550µs, proxy.ts: 215ms, render: 286ms)
 GET /dashboard 200 in 466ms (compile: 1918µs, proxy.ts: 202ms, render: 262ms)
 GET /dashboard 200 in 476ms (compile: 5ms, proxy.ts: 217ms, render: 254ms)
 GET /dashboard 200 in 493ms (compile: 1738µs, proxy.ts: 220ms, render: 272ms)
 GET /dashboard 200 in 558ms (compile: 6ms, proxy.ts: 211ms, render: 341ms)
 GET /dashboard 200 in 551ms (compile: 11ms, proxy.ts: 250ms, render: 290ms)
 GET /dashboard 200 in 526ms (compile: 3ms, proxy.ts: 212ms, render: 310ms)
 GET /dashboard 200 in 531ms (compile: 4ms, proxy.ts: 239ms, render: 288ms)
 GET /dashboard 200 in 491ms (compile: 3ms, proxy.ts: 208ms, render: 279ms)
 GET /dashboard 200 in 452ms (compile: 3ms, proxy.ts: 212ms, render: 237ms)
 GET /dashboard 200 in 517ms (compile: 9ms, proxy.ts: 221ms, render: 287ms)
 GET /dashboard 200 in 502ms (compile: 2ms, proxy.ts: 237ms, render: 263ms)
 GET /dashboard 200 in 540ms (compile: 5ms, proxy.ts: 213ms, render: 322ms)
 GET /dashboard 200 in 548ms (compile: 3ms, proxy.ts: 262ms, render: 284ms)
 GET /dashboard 200 in 512ms (compile: 2ms, proxy.ts: 210ms, render: 300ms)
 GET /dashboard 200 in 544ms (compile: 3ms, proxy.ts: 241ms, render: 300ms)
 GET /dashboard 200 in 550ms (compile: 8ms, proxy.ts: 214ms, render: 328ms)
 GET /dashboard 200 in 484ms (compile: 4ms, proxy.ts: 231ms, render: 250ms)
 GET /dashboard 200 in 507ms (compile: 3ms, proxy.ts: 216ms, render: 288ms)
 GET /dashboard 200 in 489ms (compile: 2ms, proxy.ts: 232ms, render: 254ms)
 GET /dashboard 200 in 530ms (compile: 5ms, proxy.ts: 205ms, render: 320ms)
 GET /dashboard 200 in 561ms (compile: 5ms, proxy.ts: 270ms, render: 286ms)
 GET /dashboard 200 in 633ms (compile: 2ms, proxy.ts: 222ms, render: 409ms)
 GET /dashboard 200 in 577ms (compile: 4ms, proxy.ts: 244ms, render: 329ms)
 GET /dashboard 200 in 489ms (compile: 2ms, proxy.ts: 216ms, render: 270ms)
 GET /dashboard 200 in 491ms (compile: 3ms, proxy.ts: 218ms, render: 269ms)
 GET /dashboard 200 in 485ms (compile: 4ms, proxy.ts: 220ms, render: 261ms)
 GET /dashboard 200 in 478ms (compile: 5ms, proxy.ts: 216ms, render: 257ms)
 GET /dashboard 200 in 510ms (compile: 5ms, proxy.ts: 214ms, render: 292ms)
 GET /dashboard 200 in 523ms (compile: 7ms, proxy.ts: 228ms, render: 287ms)
